point	title	description	icon
-6.8932448,108.371647	Gunung Ceremai	Gunung Ceremai (seringkali secara salah kaprah dinamakan "Ciremai") adalah gunung berapi kerucut yang secara administratif termasuk dalam wilayah tiga kabupaten, yakni Kabupaten Cirebon, Kabupaten Kuningan dan Kabupaten Majalengka, Provinsi Jawa Barat. Posisi geografis puncaknya terletak pada 6° 53 30" LS dan 108° 24 00" BT, dengan ketinggian 3.078 m di atas permukaan laut. Gunung ini merupakan gunung tertinggi di Jawa Barat. Gunung ini memiliki kawah ganda. Kawah barat yang beradius 400 m terpotong oleh kawah timur yang beradius 600 m. Pada ketinggian sekitar 2.900 m dpl di lereng selatan terdapat bekas titik letusan yang dinamakan Gowa Walet.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-7.266578,108.0366471	Gunung Galunggung	Gunung Galunggung merupakan gunung berapi dengan ketinggian 2.167 meter di atas permukaan laut, terletak sekitar 17 km dari pusat kota Tasikmalaya. Terdapat beberapa daya tarik wisata yang ditawarkan antara lain obyek wisata dan daya tarik wanawisata dengan areal seluas kurang lebih 120 hektaree di bawah pengelolaan Perum Perhutani. Obyek yang lainnya seluas kurang lebih 3 hektar berupa pemandian air panas (Cipanas) lengkap dengan fasilitas kolam renang, kamar mandi dan bak rendam air panas	http://localhost:8080/sig_indonesia/img/marker-blue.png
0.8092094,127.3158237	Gunung Gamalama	Gunung Gamalama adalah sebuah gunung stratovolcano kerucut yang merupakan keseluruhan Pulau Ternate, Kepulauan Maluku, Indonesia. Pulau ini ada di pesisir barat Pulau Halmahera yang ada di bagian utara Kepulauan Maluku. Selama berabad-abad, Ternate adalah pusat benteng Portugis dan VOC Belanda untuk perdagangan rempah-rempah, yang telah mencatat aktivitas volkanik Gamalama. Gunung Gamalama mempunyai ketinggian 1.715 meter di atas permukaan laut. Gunung Gamalama ditutupi Hutan Montane pada ketinggian 1.200 - 1.500 m dan Hutan Ericaceous pada ketinggian di atas 1.500 m	http://localhost:8080/sig_indonesia/img/marker-blue.png
-6.7876893,106.9468391	Gunung Gede	Gunung Gede merupakan sebuah gunung yang berada di Pulau Jawa, Indonesia. Gunung Gede berada dalam ruang lingkup Taman Nasional Gede Pangrango, yang merupakan salah satu dari lima taman nasional yang pertama kali diumumkan di Indonesia pada tahun 1980. Gunung ini berada di wilayah tiga kabupaten yaitu Kabupaten Bogor, Cianjur dan Sukabumi, dengan ketinggian 1.000 - 3.000 m. dpl, dan berada pada lintang 106°51 - 107°02 BT dan 64°1 - 65°1 LS. Suhu rata-rata di puncak gunung Gede 18 °C dan di malam hari suhu puncak berkisar 5 °C, dengan curah hujan rata-rata 3.600 mm/tahun. Gerbang utama menuju gunung ini adalah dari Cibodas dan Cipanas.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-7.5406288,110.4107044	Gunung Merapi	Gunung Merapi (ketinggian puncak 2.968 m dpl, per 2006) adalah gunung berapi di bagian tengah Pulau Jawa dan merupakan salah satu gunung api teraktif di Indonesia. Lereng sisi selatan berada dalam administrasi Kabupaten Sleman, Daerah Istimewa Yogyakarta, dan sisanya berada dalam wilayah Provinsi Jawa Tengah, yaitu Kabupaten Magelang di sisi barat, Kabupaten Boyolali di sisi utara dan timur, serta Kabupaten Klaten di sisi tenggara. Kawasan hutan di sekitar puncaknya menjadi kawasan Taman Nasional Gunung Merapi sejak tahun 2004.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-6.715969,106.6986993	Gunung Salak	Gunung Salak merupakan kompleks gunung berapi yang terletak di selatan Jakarta, di Pulau Jawa. Kawasan rangkaian gunung ini termasuk ke dalam wilayah Kabupaten Sukabumi dan Kabupaten Bogor, Jawa Barat. Pengelolaan kawasan hutannya semula berada di bawah Perum Perhutani Kesatuan Pemangkuan Hutan (KPH) Bogor, tetapi sejak 2003 menjadi wilayah perluasan Taman Nasional Gunung Halimun, dan dikelola sebagai Taman Nasional Gunung Halimun-Salak. Gunung Salak berusia relatif tua sehingga memiliki beberapa puncak. dengan ketinggian puncak 2.211 m dari permukaan laut (dpl.).	http://localhost:8080/sig_indonesia/img/marker-blue.png
3.1697998,98.3229931	Gunung Sinabung	adalah gunung api di Dataran Tinggi Karo, Kabupaten Karo, Sumatera Utara, Indonesia. Sinabung bersama Gunung Sibayak di dekatnya adalah dua gunung berapi aktif di Sumatera Utara dan menjadi puncak tertinggi ke 2 di provinsi itu. Ketinggian gunung ini adalah 2.451 meter.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-7.2412045,109.1444034	Gunung Slamet	Gunung Slamet (3.428 meter dpl.) adalah sebuah gunung berapi kerucut yang terdapat di Pulau Jawa, Indonesia. Gunung Slamet terletak di antara 5 kabupaten, yaitu Kabupaten Brebes, Kabupaten Banyumas, Kabupaten Purbalingga, Kabupaten Tegal, dan Kabupaten Pemalang, Provinsi Jawa Tengah. Gunung Slamet merupakan gunung tertinggi di Jawa Tengah serta kedua tertinggi di Pulau Jawa setelah Gunung Semeru. Kawah IV merupakan kawah terakhir yang masih aktif sampai sekarang, dan terakhir aktif hingga pada level siaga medio-2009.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-4.0820307,137.1160938	Gunung Jaya Wijaya	Puncak Jaya ialah sebuah puncak yang menjadi bagian dari Barisan Sudirman yang terdapat di Provinsi Papua, Indonesia. Puncak Jaya mempunyai ketinggian 4.884 m dan di sekitarnya terdapat gletser Carstensz, satu-satunya gletser tropika di Indonesia, yang kemungkinan besar segera akan lenyap akibat pemanasan global.	http://localhost:8080/sig_indonesia/img/marker-blue.png
-6.7595942,107.592271	Gunung Tangkuban Perahu	Tangkuban Parahu atau Gunung Tangkuban Perahu adalah salah satu gunung yang terletak di Provinsi Jawa Barat, Indonesia. Sekitar 20 km ke arah utara Kota Bandung, dengan rimbun pohon pinus dan hamparan kebun teh di sekitarnya, Gunung Tangkuban Perahu mempunyai ketinggian setinggi 2.084 meter. Bentuk gunung ini adalah Stratovulcano dengan pusat erupsi yang berpindah dari timur ke barat. Jenis batuan yang dikeluarkan melalui letusan kebanyakan adalah lava dan sulfur, mineral yang dikeluarkan adalah sulfur belerang, mineral yang dikeluarkan saat gunung tidak aktif adalah uap belerang. Daerah Gunung Tangkuban Perahu dikelola oleh Perum Perhutanan. Suhu rata-rata hariannya adalah 17 oC pada siang hari dan 2 oC pada malam hari.	http://localhost:8080/sig_indonesia/img/marker-blue.png
